dataset_name,model_name,observation,xai_method,AvgSensitivity,Completeness,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,SensitivityN,Sparseness,Sufficiency
MetroPT3,IForest,2020-07-15 18:30:00,LIME,0.4611487632716353,False,1.6127224567289262,0.5609756097424152,0.4629875586268733,-0.1516826924679078,5.5051893422804925,0.7342334415543501,True,0.1750855118546022,False,5,14535.262282733216,89857357.35276364,,0.592369585502094,0.0
MetroPT3,IForest,2020-07-15 18:30:00,MAPLE,0.3908663513362832,False,2.025093846179248,0.5609756097424152,0.2968679824727177,-0.2062968943506472,1.2485947668349222,0.9463791717432688,True,-0.1878787878787878,False,2,0.7087357669941646,6140.530964815494,,0.371928275826252,0.5757575757575758
MetroPT3,IForest,2020-07-15 18:30:00,SHAP,0.2836651146673256,False,1.6781742272061635,0.5609756097424152,0.8266626661579848,0.505857661885948,2.101389919778817,0.4905183098897576,True,0.0,False,3,0.302261970558524,1423.6656096747506,,0.5741706175322618,0.0
MetroPT3,IForest,2020-07-15 19:00:00,LIME,0.998247637213664,False,1.5215251934938216,0.4146341463313504,0.1314822049787907,-0.2428057580711047,13.915928418540943,1.6459824350137957,True,0.6565706694547585,False,5,,,,0.6295909332523073,0.0
MetroPT3,IForest,2020-07-15 19:00:00,MAPLE,0.7989288640115091,False,1.832980555437488,0.4146341463313504,0.0711756218657488,-0.5212673023875689,7.928889431909422,1.768857493576527,True,0.9393939393939392,False,2,,,,0.5061502837741079,0.6363636363636364
MetroPT3,IForest,2020-07-15 19:00:00,SHAP,1.292218461452196,False,1.7286875551069951,0.4146341463313504,-0.2616176158984425,0.2112838096501297,2.872208609690183,1.819833638392668,True,0.3100318272768329,False,3,,,,0.56327950706194,0.0
MetroPT3,IForest,2020-07-17 04:00:00,LIME,0.6401580360456505,False,1.5838356852886428,0.5609756097424152,0.3043060324460631,0.0310162788532625,7.183716705476519,1.0078822793204971,True,0.7691256413612886,False,4,3.306491074492545,4228603.458959388,,0.6042044418541922,0.0
MetroPT3,IForest,2020-07-17 04:00:00,MAPLE,0.6532086732867929,False,2.029521674340237,0.5609756097424152,-0.4982905262397518,0.069837255859768,2.561780384683067,0.9986835832526928,True,0.6,False,2,0.0001729506814871,100.07158290348004,,0.4094315540748169,0.5789473684210527
MetroPT3,IForest,2020-07-17 04:00:00,SHAP,0.3399665601087817,False,1.5366897975648055,0.5609756097424152,0.9254312506334182,-0.7810005128070947,2.130884454688049,0.516039463339077,True,0.291794660966431,False,4,0.0016986973095149,694.8459623246351,,0.6333532581157846,0.0
MetroPT3,IForest,2020-07-17 04:30:00,LIME,0.6259322219877285,False,1.5684042198812664,0.5609756097424152,0.2996560321179606,-0.029457955376861,7.160300783705965,1.0103252252709307,True,0.7441134253820596,False,4,3.1920636908423456,2119690.147098205,,0.6087683627893394,0.0
