dataset_name,model_name,xai_method,AvgSensitivity,Completeness,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,SensitivityN,Sparseness,Sufficiency
AHU21,VAE,LIME,1.1238881534684586,0.0,2.4189020969092776,0.9999999999683444,-0.4815640689117115,-0.012255315271506,8.445635303375258,1.7959644138984874,0.5285714285714286,0.2689425770308123,0.0,4.471428571428572,0.000158938481105,4921.298623387539,0.1604626212937665,0.493754315195239,0.9428571428571428
AHU21,VAE,MAPLE,0.9485214010461522,0.0,1.73882278656859,0.999999999951985,-0.0048654527570522,-0.0156213931808423,3.13539281351994,1.9270230772510752,0.5285714285714286,0.1423111290754849,0.0,4.228571428571429,0.0475385685581991,1729690.793094832,-0.2991402478604606,0.7004440036541978,0.0
AHU21,VAE,SHAP,1.2083943426826522,0.0,2.164525171587435,0.9999999999683444,-0.6226348768294815,-0.0290499527685375,2.138392557749069,2.993561517242152,0.5571428571428572,0.0729341736694677,0.0,4.642857142857143,0.0006951432833904,2924.716192210471,-0.0841145840400408,0.5707695743459611,0.9285714285714286
ARAMIS20,AutoEncoder,LIME,0.7915752361339763,0.0,1.7020198726817155,0.796462585014006,0.0382157680859901,0.0328014346372247,7.1012948764790895,1.5491947671783202,1.0,0.1542951767997493,0.0142857142857142,1.2714285714285714,3016.6809561423856,296210.0735533656,0.1891356138062019,0.3602333078958151,0.7639281818773882
ARAMIS20,AutoEncoder,MAPLE,1.1553178558131985,0.0,1.573731939866256,0.796462585014006,-0.0387783111730258,0.0311701861904188,5.886918779758606,2.886053361646733,1.0,0.149556454131696,0.0142857142857142,1.2571428571428571,558.6727735216808,52631.90802860444,0.1166388562867191,0.4431330925288586,0.8301460452005934
ARAMIS20,AutoEncoder,SHAP,0.970782561388148,0.0,1.6041230319606363,0.796462585014006,-0.01166201701222,0.0202619961435878,3.659154617469752,1.8026753719927644,1.0,0.0692630315404107,0.0142857142857142,1.2571428571428571,18.711523950549623,67275.73280518336,0.285747848895201,0.4216047075478432,0.826091028237966
ARAMIS20,ECOD,LIME,0.8364147429965222,0.0,1.903127949259819,0.7907482993008632,-0.3067854933457358,-0.0506259909813697,12.25157761995004,1.5048456342745515,1.0,0.2954081632653061,0.0857142857142857,0.7571428571428571,3.0314568863840035,860.5386478773354,-0.0631950766426146,0.1584998420800294,0.8021361504776293
ARAMIS20,ECOD,MAPLE,0.8995731109954277,0.0,1.2546819144604042,0.7907482993008632,0.1276082710335955,0.0298646804005808,4.946832536690162,2.471809059552577,1.0,0.2108193662707608,0.0714285714285714,1.6428571428571428,11.025730855744715,8183.0328033133155,0.0411515211880386,0.5923604512917988,0.0
ARAMIS20,ECOD,SHAP,1.1817704129615951,0.0,1.7054768726797562,0.7907482993008632,-0.5198316500921135,-0.0446219424118012,7.272730479536858,2.017005328188814,1.0,0.3086734693877552,0.1,0.7571428571428571,7.167963589594521,3083.9411968231734,0.0481873094989648,0.3510303876449419,0.8261290926721521
ARAMIS20,HBOS,LIME,0.6676700234893208,0.0,1.61903700994041,0.4841723355869087,-0.0343884926750411,-0.0646923557998991,8.996424347965668,1.3778215332200494,1.0,0.2738826279986737,0.1142857142857142,1.1285714285714286,3.485355275752745,918.230835729242,-0.0318264200225917,0.4260530998239725,0.6045402472381097
ARAMIS20,HBOS,MAPLE,0.7597547804483857,0.0,1.411131819541805,0.4841723355869087,0.1348777786479965,-0.0011857170120255,5.134678837444032,1.7301474641060146,1.0,0.1637801275297036,0.0285714285714285,1.1285714285714286,18.350542658984363,5813.151332090282,-0.1357119203286575,0.5311012611788837,0.4791088363049037
ARAMIS20,HBOS,SHAP,1.0683139908105737,0.0,1.5633912097267764,0.4841723355869087,0.022246642323706,-0.0005744908201645,4.937844235498115,1.870084742890864,1.0,0.2974074236612392,0.0857142857142857,1.1285714285714286,10.517538768206332,2849.869992386216,-0.0141757041869196,0.4525800951964782,0.5849904932767352
ARAMIS20,IForest,LIME,0.7623368914135941,0.0,1.7482048529255778,0.8421768707191487,0.131575920054531,-0.145852180587222,9.898243436333404,1.4325858935726516,1.0,0.1423469387755102,0.0,1.0,14.956909932190786,575.1943503699327,-0.3367037409721189,0.3178784898226626,0.8577234349354066
ARAMIS20,IForest,MAPLE,0.7758527978114671,0.0,1.3949942612308706,0.8421768707191487,-0.0941877047745153,-0.1301580591296103,4.54627390038502,1.757044129904843,1.0,0.2535714285714286,0.0285714285714285,1.0,5.173760317921759,37.21889137699007,0.1629804302248824,0.5283252435229718,0.8285035573363465
ARAMIS20,IForest,SHAP,1.6383512086515135,0.0,1.64823830280855,0.8421768707191487,-0.0239167005697251,-0.0291041079795027,3.6726748501672057,2.6311139768107883,1.0,-0.0423469387755102,0.0285714285714285,1.0,7.222649668689471,65.70897368741954,-0.3774138612697083,0.3907609316379633,0.8425202923696724
ARAMIS20,MCD,LIME,0.8798414470786113,0.0,1.5362448742934138,0.8421768707191487,-0.3378119643319814,-0.0852757147969996,8.016690590732942,1.842887027864476,1.0,0.3311224489795918,0.0571428571428571,1.0285714285714285,28.665521705930527,166712.25794421675,-0.0178916568714912,0.469279938177663,0.8663589004255412
ARAMIS20,MCD,MAPLE,3.1570011940050744,0.0,1.4414616534594544,0.8421768707191487,-0.0248858339593518,0.0461844211319627,3.721398955385295,7.564896583423006,1.0,0.4704081632653061,0.0285714285714285,1.042857142857143,174.8800299243331,18295301.147475444,0.0389590147492523,0.5134152582047313,0.8872196135457671
ARAMIS20,MCD,SHAP,1.7723571810182164,0.0,1.5514717264666569,0.8421768707191487,-0.6327807771666333,-0.0321181503312508,1.6262759637940745,5.224025081920838,1.0,0.6188775510204083,0.0714285714285714,1.042857142857143,133.95028994570188,271783.488817586,0.270757610279171,0.4603069202204645,0.9126435777695464
ARAMIS20,VAE,LIME,0.8267220181815315,0.0,1.611883527232019,0.8662131518979058,0.0462680705194813,-0.0563767113114677,7.570482188248434,1.646437830129898,0.0,0.0183673469387755,0.0142857142857142,0.2,25.10617087808912,10698.514019615614,0.0078844544510239,0.423032849433247,0.8747378726816839
ARAMIS20,VAE,MAPLE,1.4657481784423234,0.0,1.5431304865783535,0.8662131518979058,0.1557129331432689,-0.0717626435823573,4.00795397418185,3.0891236440128838,0.0,0.25,0.0142857142857142,0.1714285714285714,132.51941842849732,29154.24777296719,-0.1939849814933467,0.4578945595005689,0.8998816992320834
ARAMIS20,VAE,SHAP,2.3370382651333186,0.0,1.589529369681764,0.8662131518979058,-0.0970992638060556,0.0300296077685176,2.8960864946964886,6.070233545355113,0.0,0.0704081632653061,0.0285714285714285,0.2,31.86849905461848,5127.72385015139,0.0395698168976033,0.4332514894104057,0.905115323816283
MetroPT3,AutoEncoder,LIME,1.0221498552144754,0.0,0.9868398197861372,0.8234610917336905,-0.3153695317099509,-0.1392041239679081,10.427928155488717,1.7311920141115114,1.0,0.2024798436413767,0.0238095238095238,4.904761904761905,4.942376971549916,24547163.01036132,-0.0283352787214348,0.7760061343443349,0.0
MetroPT3,AutoEncoder,MAPLE,0.9303545406789396,0.0,1.942610350138,0.8234610917336905,-0.0200363939072822,0.2141420823833646,6.107797458012842,1.3711284437244422,1.0,0.365165462168273,0.0,2.119047619047619,17.924364475816894,4882909.438011742,0.1737614941136856,0.4438189727956284,0.8303731934960669
MetroPT3,AutoEncoder,SHAP,1.1222299736867112,0.0,1.2971157908980302,0.8234610917336905,-0.3766007909371546,-0.1782972615915847,1.3897121796232574,2.309532216466979,1.0,0.001766962034595,0.0238095238095238,3.523809523809524,1.6133951065863488,21244843.26820197,-0.7317724891446498,0.6534374123261272,0.0
MetroPT3,ECOD,LIME,1.7080053220957787,0.0,1.579265055918807,0.544715447141186,-0.2320037705100442,-0.1258102698828018,8.64729570381049,2.137267410130874,1.0,-0.0597017774266118,0.2619047619047619,4.047619047619048,6087.7965360098615,296631.11642436835,-0.3532351689859117,0.5944507220948365,0.0
MetroPT3,ECOD,MAPLE,1.0532082778496448,0.0,1.8129478693274457,0.544715447141186,-0.0116696005452845,0.0554496497707871,4.252171957007282,2.9035125011467207,1.0,0.0938205715050767,0.238095238095238,1.0238095238095235,4.452837740543144,184211.48051974984,-0.0172805452621773,0.4879551854681312,0.5388954299668586
MetroPT3,ECOD,SHAP,0.5987122441155921,0.0,1.895923880892028,0.544715447141186,0.0582170683634179,0.1425411291225699,4.955452920070579,0.8099279392892038,1.0,-0.524547280223256,0.2857142857142857,1.7142857142857142,275.17302388860554,11083.876665906617,-0.493013718989503,0.4539760362321068,0.0
MetroPT3,HBOS,LIME,1.280903594443601,0.0,1.5867652154740843,0.6039488966170931,-0.1654914297246203,-0.1143407309440258,12.065457091025058,1.9711882124579276,1.0,-0.370963531813766,0.2619047619047619,6.357142857142857,1692.857405637498,143886.20470247034,-0.4254264797111632,0.5922246333387561,0.0
