dataset_name,model_name,metric,category,direction,xai_method,median,rank,is_best,best_methods,interpretation
AHU21,HBOS,Sufficiency,Faithfulness,higher,LIME,0.4791304347826087,2.0,False,MAPLE,mayor suficiencia
AHU21,HBOS,Sufficiency,Faithfulness,higher,MAPLE,0.5897435897435898,1.0,True,MAPLE,mayor suficiencia
AHU21,HBOS,Sufficiency,Faithfulness,higher,SHAP,0.0,3.0,False,MAPLE,mayor suficiencia
AHU21,IForest,Completeness,Fidelity,higher,LIME,0.0,1.0,True,LIME,más completo
AHU21,IForest,Complexity,Complexity,lower,LIME,2.511140736547551,1.0,True,LIME,explicaciones menos complejas
AHU21,IForest,Consistency,Faithfulness,lower,LIME,0.6825396825288487,1.0,True,LIME,mayor consistencia
AHU21,IForest,Faithfulness,Faithfulness,higher,LIME,-0.053643127136234606,1.0,True,LIME,mayor fidelidad
AHU21,IForest,FaithfulnessEstimate,Faithfulness,higher,LIME,-0.016006245635325298,1.0,True,LIME,mayor estimación de fidelidad
AHU21,IForest,LocalLipschitzEstimate,Robustness,lower,LIME,9.540279075468344,1.0,True,LIME,mayor estabilidad local
AHU21,IForest,Monotonicity,Faithfulness,higher,LIME,1.0,1.0,True,LIME,mayor monotonicidad
AHU21,IForest,MonotonicityCorrelation,Faithfulness,higher,LIME,0.25490196078431376,1.0,True,LIME,mayor correlación monotónica
AHU21,IForest,MonotonicityMetric,Faithfulness,higher,LIME,0.0,1.0,True,LIME,mayor cumplimiento de monotonicidad
AHU21,IForest,NonSensitivity,Fidelity,lower,LIME,4.0,1.0,True,LIME,menor sensibilidad a características irrelevantes
AHU21,IForest,Sparseness,Complexity,higher,LIME,0.42234109703554223,1.0,True,LIME,atribuciones más concentradas
AHU21,IForest,Sufficiency,Faithfulness,higher,LIME,0.6129406307977736,1.0,True,LIME,mayor suficiencia
AHU21,MCD,AvgSensitivity,Sensitivity,lower,LIME,1.2182942152552267,1.0,True,LIME,menor sensibilidad media
AHU21,MCD,AvgSensitivity,Sensitivity,lower,MAPLE,1.405458263199979,2.0,False,LIME,menor sensibilidad media
AHU21,MCD,AvgSensitivity,Sensitivity,lower,SHAP,2.740218846804307,3.0,False,LIME,menor sensibilidad media
AHU21,MCD,Completeness,Fidelity,higher,LIME,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,MCD,Completeness,Fidelity,higher,MAPLE,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,MCD,Completeness,Fidelity,higher,SHAP,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,MCD,Complexity,Complexity,lower,LIME,0.9441306890971072,2.0,False,SHAP,explicaciones menos complejas
AHU21,MCD,Complexity,Complexity,lower,MAPLE,1.3178941067032248,3.0,False,SHAP,explicaciones menos complejas
AHU21,MCD,Complexity,Complexity,lower,SHAP,0.8261422617170788,1.0,True,SHAP,explicaciones menos complejas
AHU21,MCD,Consistency,Faithfulness,lower,LIME,0.9682539682385992,2.0,False,MAPLE,mayor consistencia
AHU21,MCD,Consistency,Faithfulness,lower,MAPLE,0.9591836734498128,1.0,True,MAPLE,mayor consistencia
AHU21,MCD,Consistency,Faithfulness,lower,SHAP,0.9682539682385992,2.0,False,MAPLE,mayor consistencia
