metric,category,direction,xai_method,mean,median,std,iqr,min,max,missing_pct,interpretation
Monotonicity,Faithfulness,higher,MAPLE,0.8672161172161172,1.0,0.33949649594275993,0.0,0.0,1.0,0.0,mayor monotonicidad
Monotonicity,Faithfulness,higher,SHAP,0.8690476190476191,1.0,0.3375028390739256,0.0,0.0,1.0,0.0,mayor monotonicidad
MonotonicityCorrelation,Faithfulness,higher,LIME,0.2056446559355468,0.2312297288314915,0.34147926559998715,0.4285714285714286,-0.8928571428571429,0.9642857142857144,0.0,mayor correlación monotónica
MonotonicityCorrelation,Faithfulness,higher,MAPLE,0.22616825965470566,0.25113124477737825,0.3432473140099583,0.5,-0.9285714285714288,1.0,0.0,mayor correlación monotónica
MonotonicityCorrelation,Faithfulness,higher,SHAP,0.06613667620685629,0.06774853039259954,0.4692233285948954,0.786135828149684,-1.0,0.9642857142857144,0.0,mayor correlación monotónica
MonotonicityMetric,Faithfulness,higher,LIME,0.048534798534798536,0.0,0.21499185855805603,0.0,0.0,1.0,0.0,mayor cumplimiento de monotonicidad
MonotonicityMetric,Faithfulness,higher,MAPLE,0.0521978021978022,0.0,0.22252761242216057,0.0,0.0,1.0,0.0,mayor cumplimiento de monotonicidad
MonotonicityMetric,Faithfulness,higher,SHAP,0.05311355311355311,0.0,0.2243626555587226,0.0,0.0,1.0,0.0,mayor cumplimiento de monotonicidad
SensitivityN,Faithfulness,higher,LIME,,,,,,,100.0,menor sensibilidad
SensitivityN,Faithfulness,higher,MAPLE,,,,,,,100.0,menor sensibilidad
SensitivityN,Faithfulness,higher,SHAP,,,,,,,100.0,menor sensibilidad
Sufficiency,Faithfulness,higher,LIME,0.5724919399414982,0.7222222222222222,0.4074175180819014,0.9411764705882352,0.0,1.0,0.0,mayor suficiencia
Sufficiency,Faithfulness,higher,MAPLE,0.47671622866221813,0.5199843260188088,0.41971107813719205,0.913793103448276,0.0,1.0,0.0,mayor suficiencia
Sufficiency,Faithfulness,higher,SHAP,0.5630340170785523,0.7936623125302371,0.44141638840428443,0.9666666666666668,0.0,1.0,0.0,mayor suficiencia
Completeness,Fidelity,higher,LIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,más completo
Completeness,Fidelity,higher,MAPLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,más completo
Completeness,Fidelity,higher,SHAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,más completo
NonSensitivity,Fidelity,lower,LIME,3.7234432234432235,4.0,3.005415194109203,4.0,0.0,14.0,0.0,menor sensibilidad a características irrelevantes
NonSensitivity,Fidelity,lower,MAPLE,2.957875457875458,2.0,2.704523533732273,4.0,0.0,13.0,0.0,menor sensibilidad a características irrelevantes
NonSensitivity,Fidelity,lower,SHAP,3.3635531135531136,3.0,2.8751390854524037,4.0,0.0,13.0,0.0,menor sensibilidad a características irrelevantes
LocalLipschitzEstimate,Robustness,lower,LIME,9.172351972512347,8.879472409566379,3.3401304805099823,3.678930271456384,1.652432489856055,31.374282895856595,0.0,mayor estabilidad local
